village,gender_hh,time_cat,n,pct
Borda,Female,<30 min,8,100
Borda,Male,<30 min,10,100
Kabong'o,Female,<30 min,34,100
Kabong'o,Male,<30 min,26,100
Kagola West,Female,<30 min,27,100
Kagola West,Male,<30 min,26,100
Kaswa,Female,<30 min,8,100
Kaswa,Male,<30 min,12,100
Kogola East,Female,<30 min,14,100
Kogola East,Male,<30 min,15,100
Kokech,Female,<30 min,13,52
Kokech,Female,>1 hour,12,48
Kokech,Male,<30 min,14,58.3
Kokech,Male,>1 hour,10,41.7
